mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M1669,PBPK,"Stader F, Courlet P, Kinvig H, Battegay M, Decosterd LA, Penny MA, Siccardi M, Marzolini C. Effect of ageing on antiretroviral drug pharmacokinetics using clinical data combined with modelling and simulation. Br J Clin Pharmacol. 2021 Feb;87(2):458-470. doi: 10.1111/bcp.14402. Epub 2020 Jun 14. PMID: 32470203.",Adult and Pediatric Populations,Ritonavir/darunavir/atazanavir/ dolutegravir/raltegravir/ rilpivirine/efavirenz/ etravirine/tenofovir disoproxil fumarate/ emtricitabine,HIV,32470203,"Ritonavir, darunavir/r, atazanavir/r, dolutegravir, raltegravir, rilpivirine, efavirenz, etravirine, tenofovir (administered as tenofovir disoproxil fumarate), and emtricitabine were analysed in PLWH at least 55 years in the framework of two clinical studies within the Swiss HIV Cohort Study. Both studies were conducted in the accordance with the Declaration of Helsinki and are registered at clinicaltrials.gov (NCT 03515772).",https://classic.clinicaltrials.gov/ct2/show/results/NCT03515772?view=results,NA
M1670,PBPK,"Yoon S, Yi S, Rhee SJ, Lee HA, Kim Y, Yu KS, Chung JY. Development of a physiologically-based pharmacokinetic model for cyclosporine in Asian children with renal impairment. Transl Clin Pharmacol. 2019 Sep;27(3):107-114. doi: 10.12793/tcp.2019.27.3.107. Epub 2019 Sep 30. PMID: 32055591; PMCID: PMC6989237.",healthy Asian children and Asian children with renal impairment,cyclosporine,glomerular disease,32055591,NA,NA,NA
M1671,PBPK,"Malik PRV, Edginton AN. Physiologically-Based Pharmacokinetic Modeling vs. Allometric Scaling for the Prediction of Infliximab Pharmacokinetics in Pediatric Patients. CPT Pharmacometrics Syst Pharmacol. 2019 Nov;8(11):835-844. doi: 10.1002/psp4.12456. Epub 2019 Oct 19. PMID: 31343836; PMCID: PMC6875711.",Adult and Pediatric Populations,Infliximab,autoimmune conditions,31343836,"Table 1
Data sets used for evaluation of pediatric PK predictions

Table 3
Adult infliximab PopPK studies used for allometric scaling","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6875711/table/psp412456-tbl-0001/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6875711/table/psp412456-tbl-0003/?report=objectonly",NA
M1672,PBPK,"Verscheijden LFM, Koenderink JB, de Wildt SN, Russel FGM. Development of a physiologically-based pharmacokinetic pediatric brain model for prediction of cerebrospinal fluid drug concentrations and the influence of meningitis. PLoS Comput Biol. 2019 Jun 13;15(6):e1007117. doi: 10.1371/journal.pcbi.1007117. PMID: 31194730; PMCID: PMC6592555.","healthy adult,healthy pediatric and pediatric meningitis population",paracetamol/ibuprofen/flurbiprofen/naproxen,NA,31194730,"Building a healthy adult brain PBPK model using paracetamol
First, the adult brain PBPK model was built and validated using published paracetamol data [7, 15]. 

Building a healthy pediatric brain PBPK model using paracetamol
After inclusion of the age-related data, simulations of paracetamol concentrations were performed for children aged between 3 months and 13 years. The pediatric model simulations also largely overlaid with observed data (Fig 1). 

Validation of the pediatric brain PBPK model using ibuprofen, flurbiprofen and naproxen
For this drug a Kp scalar of 0.33 (i.e. Kp of every compartment multiplied by 0.33) was introduced to adjust volume of distribution such that simulations of plasma concentrations better correlated with observations (Fig 3).

Meropenem permeability in the adult brain meningitis PBPK model
Drug-related parameters of meropenem were included in the adult model. No individual doses were reported in the study of Lu et al., which was used for validation [17].","https://bpspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2125.1992.tb04112.x
https://onlinelibrary.wiley.com/doi/full/10.1111/j.1533-2500.2012.00556.x?casa_token=gnDb8LhL0ycAAAAA%3AclWEOVV47Uieiz8RcxL7zRKaoS0IRHIk_5V8iN562_3hLl6siGzONooAgn2VmDc3AobjqkMewiSgAqMQ
https://journals.asm.org/doi/full/10.1128/aac.00997-16",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6592555/bin/pcbi.1007117.s001.R
M1673,PBPK,"Villiger A, Stillhart C, Parrott N, Kuentz M. Using Physiologically Based Pharmacokinetic (PBPK) Modelling to Gain Insights into the Effect of Physiological Factors on Oral Absorption in Paediatric Populations. AAPS J. 2016 Jul;18(4):933-47. doi: 10.1208/s12248-016-9896-z. Epub 2016 Apr 8. PMID: 27060007.",Adult and Pediatric Populations,sotalol / paracetamol,"arrhythmia(sotalol), pain and fever(paracetamol)",27060007,"Collection of PK Data
Sotalol and paracetamol in vivo PK data in healthy adults were collected from 7 (33–39) and 14 (25,40–52) different sources, respectively. 
Sotalol PK data in paediatric populations were obtained from the study of Saul et al. (53), which includes three age-specific data sets. PK data for paracetamol in paediatric populations were collected from six sources (54–59).","https://link.springer.com/article/10.1208/s12248-016-9896-z/figures/2
https://link.springer.com/article/10.1208/s12248-016-9896-z/figures/3
https://link.springer.com/article/10.1208/s12248-016-9896-z/figures/4
https://link.springer.com/article/10.1208/s12248-016-9896-z/figures/5",NA
M1674,PBPK,"Sjögren E, Tarning J, Barnes KI, Jonsson EN. A Physiologically-Based Pharmacokinetic Framework for Prediction of Drug Exposure in Malnourished Children. Pharmaceutics. 2021 Feb 2;13(2):204. doi: 10.3390/pharmaceutics13020204. PMID: 33540928; PMCID: PMC7913226.",Adult and Pediatric Populations,Caffeine/Cefoxitin/Ciprofloxacin/Lumefantrine/Pyrimethamine/Sulfadoxine,NA,33540928,"2.4. PBPK Drug Models and Study Data Used in PK Evaluation

2.4.1. Caffeine 
Some model refinements were performed to match the clinical plasma concentrations in healthy Nigerian adult volunteers (n = 10) after a 300-mg oral dose dissolved in water [24].The PK evaluation of the PSP strategy was performed using extracted plasma concentration data from malnourished Nigerian children (n = 7) with kwashiorkor with an average age of 2.6 years (range 1.3–4.5 years) [25].

2.4.2. Cefoxitin
The PBPK model was then optimized, by parameter identification, towards the clinical plasma concentrations reported in healthy volunteers after intravenous cefoxitin doses of 2 g (5-min infusion) or 30 mg/kg (3-min infusion) [26,27]. PK evaluation of the PSP strategy was performed using reported serum concentration data after a 40-mg/kg intravenous cefoxitin dose in malnourished South African children (n = 6) with kwashiorkor with average age 28 ± 12 months [28].

2.4.3. Ciprofloxacin
Some model refinements were performed to match the clinical plasma concentrations in healthy American adult volunteers (n = 14) after a 750-mg oral dose [30]. PK evaluation of the PSP strategy was performed using extracted plasma concentration data from Kenyan children (n = unknown) defined as malnourished by the following criteria: WHZ ≤ 3, MUAC < 11 cm, or the presence of bilateral pedal oedema (kwashiorkor) [31]. 

2.4.4. Lumefantrine
We characterized lumefantrine intestinal absorption using data reported by a food-effect study in Chinese healthy adult volunteers (n = 16) as well as previous assessments of fraction absorbed (fabs), reported to be 4.7% and 75% in fasted and fed state, respectively [33,34]. The PK evaluation of the PSP strategy was performed versus observations of lumefantrine in malnourished Malian and Nigerien children (n = 131), aged 6‒59 months, with uncomplicated P. falciparum malaria [23].

2.4.5. Pyrimethamine
Model development was then performed, by parameter identification, towards: (a) clinical plasma and whole-blood concentrations reported in healthy volunteers (n = 7) after a 25-mg oral dose of pyrimethamine; and (b) whole-blood concentrations reported in malaria-infected adult volunteers (n = 228) after a 75-mg oral dose [37,38,39,40].
PK evaluation of the PSP strategy was performed using compiled observations of pyrimethamine in malnourished malaria-infected African children (n = 60) aged 16–60 months [38,39].

2.4.6. Sulfadoxine
Model development was then performed, by parameter identification, towards: (a) clinical plasma and whole-blood concentrations reported in healthy volunteers (n = 7) after a 500-mg oral dose of sulfadoxine; and (b) whole-blood concentrations in malaria-infected adult volunteers (n = 228) after a 1500-mg oral dose [37,38,39,40].PK evaluation of the PSP strategy was performed using compiled observations of sulfadoxine in malnourished African children (n = 59), aged 17–60 months, with P. falciparum malaria.","https://link.springer.com/article/10.1007/s002280050734
https://journals.asm.org/doi/abs/10.1128/aac.20.6.741
https://academic.oup.com/jac/article-abstract/23/1/99/879291
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1430007/
https://bpspubs.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2125.1996.tb00120.x
https://academic.oup.com/jac/article/66/10/2336/734465
https://link.springer.com/article/10.2165/00044011-199918060-00006
https://www.pharmacy.umaryland.edu/media/SOP/wwwpharmacyumarylandedu/centers/cersievents/pedsformulation/wen-presentation-notes.pdf
https://ascpt.onlinelibrary.wiley.com/doi/full/10.1002/cpt.1531
https://karger.com/che/article-abstract/33/4/229/64952/Pharmacokinetics-of-Sulfadoxine-and-Pyrimethamine
https://link.springer.com/article/10.1186/1475-2875-8-141
https://ascpt.onlinelibrary.wiley.com/doi/full/10.1016/j.clpt.2006.08.016
https://journals.asm.org/doi/full/10.1128/aac.01370-17
https://link.springer.com/article/10.1007/s002280050735",NA
M1675,PBPK,"Malik PRV, Edginton AN. Integration of Ontogeny Into a Physiologically Based Pharmacokinetic Model for Monoclonal Antibodies in Premature Infants. J Clin Pharmacol. 2020 Apr;60(4):466-476. doi: 10.1002/jcph.1540. Epub 2019 Nov 14. PMID: 31729044.",Premature Infants,pagibaximab/palivizumab/MEDI8897/ immunoglobulin,NA,31729044,Table 1. Pharmacokinetic Data for PBPK Modeling,"https://www.jpeds.com/article/S0022-3476(88)80070-2/abstract
https://pubmed.ncbi.nlm.nih.gov/2480576/
https://www.jpeds.com/article/S0022-3476(87)80514-0/abstract
https://onlinelibrary.wiley.com/resolve/openurl?genre=article&sid=nlm:pubmed&issn=0091-2700&date=2000&volume=40&issue=7&spage=722
https://journals.lww.com/pidj/fulltext/2018/09000/safety,_tolerability_and_pharmacokinetics_of.9.aspx
https://journals.lww.com/pidj/abstract/1998/09000/safety_and_pharmacokinetics_of_an_intramuscular.7.aspx
https://www.sciencedirect.com/science/article/pii/S1567576909000691?via%3Dihub
https://publications.aap.org/pediatrics/article-abstract/128/2/271/30635/A-Randomized-Study-of-a-Monoclonal-Antibody?redirectedFrom=fulltext",NA
M1676,PBPK,"Ladumor MK, Thakur A, Sharma S, Rachapally A, Mishra S, Bobe P, Rao VK, Pammi P, Kangne H, Levi D, Balhara A, Ghandikota S, Joshi A, Nautiyal V, Prasad B, Singh S. A repository of protein abundance data of drug metabolizing enzymes and transporters for applications in physiologically based pharmacokinetic (PBPK) modelling and simulation. Sci Rep. 2019 Jul 4;9(1):9709. doi: 10.1038/s41598-019-45778-9. PMID: 31273226; PMCID: PMC6609630.",healthy adults and special populations,lamotrigine,epilepsy,31273226,"Prediction of the pharmacokinetics of lamotrigine in healthy adults and special populationsFigure 4 shows the predicted intravenous (IV) and peroral (PO) PK profiles of lamotrigine in healthy adults. The model was validated across various dosage forms (tablet, solution and capsule) and for an ascending dose of a capsule dosage form, and the resultant overlapping profiles are included in the same figure.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6609630/figure/Fig4/,NA
M1677,PBPK,"Samant TS, Lukacova V, Schmidt S. Development and Qualification of Physiologically Based Pharmacokinetic Models for Drugs With Atypical Distribution Behavior: A Desipramine Case Study. CPT Pharmacometrics Syst Pharmacol. 2017 May;6(5):315-321. doi: 10.1002/psp4.12180. Epub 2017 Apr 11. PMID: 28398693; PMCID: PMC5697013.",Adult and Pediatric Populations,Desipramine,depression,28398693,NA,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5697013/bin/PSP4-6-315-s003.zip
M1678,PBPK,"Lukacova V, Goelzer P, Reddy M, Greig G, Reigner B, Parrott N. A Physiologically Based Pharmacokinetic Model for Ganciclovir and Its Prodrug Valganciclovir in Adults and Children. AAPS J. 2016 Nov;18(6):1453-1463. doi: 10.1208/s12248-016-9956-4. Epub 2016 Jul 22. PMID: 27450227.",Adults and Children,Ganciclovir/Valganciclovir,cytomegalovirus (CMV) disease,27450227,Table II. Summary of Studies Used for PBPK Model Development and Evaluation,"https://journals.asm.org/doi/10.1128/aac.44.10.2811-2815.2000?url_ver=Z39.88-2003&rfr_id=ori%3Arid%3Acrossref.org&rfr_dat=cr_pub++0pubmed
https://academic.oup.com/jac/article/57/5/1004/764662?login=false
https://academic.oup.com/jid/article-abstract/171/6/1431/803589?redirectedFrom=fulltext&login=false
https://link.springer.com/article/10.2165/00003088-199937020-00005
https://ascpt.onlinelibrary.wiley.com/doi/abs/10.1038/sj.clpt.6100150",NA
M1679,PBPK,"Peigné S, Bouzom F, Brendel K, Gesson C, Fouliard S, Chenel M. Model-based approaches for ivabradine development in paediatric population, part I: study preparation assessment. J Pharmacokinet Pharmacodyn. 2016 Feb;43(1):13-27. doi: 10.1007/s10928-015-9451-z. Epub 2015 Nov 12. PMID: 26563503.",paediatric patients,Ivabradine,chronic heart failure,26563503,NA,NA,NA
M1680,PBPK,"Johnson TN, Abduljalil K, Nicolas JM, Muglia P, Chanteux H, Nicolai J, Gillent E, Cornet M, Sciberras D. Use of a physiologically based pharmacokinetic-pharmacodynamic model for initial dose prediction and escalation during a paediatric clinical trial. Br J Clin Pharmacol. 2021 Mar;87(3):1378-1389. doi: 10.1111/bcp.14528. Epub 2020 Sep 6. PMID: 32822519.",Adult and Pediatric Populations,radiprodil,chronic neuropathic pain ,32822519,"The initial simulations of the kinetics of radiprodil were performed using the Healthy Volunteer adult population, the model inputs shown in Table 1, and the immediate release capsule formulation option. A trial design of 10 trials of 10 subjects with proportion of females set at zero (comparing with healthy male volunteer studies) and with an age range of 20–50 years was used. The initial oral dose was 15 mg given in the fasted state at 09:00; simulations were run to cover a 3-day period. Each dose was given with 250 mL of water. The predicted concentration–time profiles and other PK parameters were compared against the clinical data (UCB in-house study RGH-896-001). Further simulations including single and multiple 15-mg doses in the fed state, 27-mg single doses in the fasted and fed state and 45-mg single doses in the fasted and fed state were performed in order to replicate the clinical data in adults (UCB in-house study RGH-896-001). For the 15-mg multiple dose fed studies the custom dosing option was used to replicate the following dosage regimens: 15 mg at 09:00 on day 1, then twice daily doses of 15 mg at 09:00 and 21:00 on days 2 to 5 and finally 15 mg at 09:00 on day 6, the trial was run for 7 days. In this case 10 trials of 8 subjects were run to replicate the clinical study (UCB in-house study RGH-896-002).",NA,NA
